Samantaral,2017,114,7.6,"On a family visit, a young man and his girlfriend set out to discover why his eccentric uncle has been mysteriously confined to one room for years."
Bao xue jiang zhi,2017,120,6.5,A man who is laid off from a steel factory desperately wants to chase a serial killer in a small city in Southern China.
Rewind: Die zweite Chance,2017,106,5.4,Ex-Police Commissioner Lenders makes a staggering discovery while investigating a murder: one of the victims comes from another time period.
Love and Shukla,2017,107,7.3,"A sexually inexperienced rickshaw driver struggles to build intimacy with his shy new wife in their tiny, overcrowded quarters."
Parayi Bulduk,2017,88,3.3,"When a Roman General is betrayed, and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge."
Aile Arasinda,2017,124,7.7,"Life of a singer, her daughter and her friends change when they meet with a divorced man."
White Blessing,2017,104,6.9,WHITE BLESSING is motivational sports drama and based on a true story.
Charlotte,2017,83,3.3,A girl in her teens babysits for a new family when she meets a creepy doll. The doll makes her watch several gruesome tales on TV.
Winaypacha,2017,86,7.8,A couple of elderlies try to survive in Los Andes of Peru while they wait for their son.
The Last Guest,2017,90,6.9,"The tragic story of a guest and his perspective of the war between the society, and the enemy bacon soldiers."
Shonar Pahar,2018,140,8.1,"A story of a unique friendship, a journey of rediscovering the relationships in life."
Phamous,2018,115,3.8,India's highlands descend into bullet-riddled mayhem as the longtime rivalries and ruthless revenge missions among four men come to a head.
Egy nap,2018,99,7.1,"A day in the life of a mother, caught in the relentlessness of daily life, between her work, her home and her children."
La camarista,2018,102,7.1,A look at the working environment of a chambermaid in one of Mexico City's most luxurious hotels.
Ayka,2018,100,7.0,A poor migrant woman in Moscow struggles with her life.
Kaatrin Mozhi,2018,148,7.3,The life of a housewife changes drastically after becoming a radio jockey in the city's biggest radio station.
Donbass,2018,122,6.6,"In eastern Ukraine, society begins to degrade as the effects of propaganda and manipulation begin to surface in this post-truth era."
Istoriya odnogo naznacheniya,2018,112,6.5,The shrill and tragic story about an event that involved Count Lev Nikolaevich Tolstoy.
Gongjak,2018,137,7.2,"In the mid-1990s, a loyal South Korean secret agent is caught in a political vortex plotted by the ruling classes of North and South Korea."
Li Cha de gu ma,2018,113,4.7,"Hoping to win over his love, a bankrupt man asks his mysterious millionaire aunt for help."
Harjeeta,2018,129,7.5,"Raised in a poor, dysfunctional home, a young man dreams of winning the World Cup in field hockey."
We Love,2018,100,4.8,The romantic escapades of a group of high school students.
Menocchio,2018,103,6.3,The story of a man who is incapable of betraying his principles.
Go Home - A casa loro,2018,84,4.2,"In the course of a demonstration in Rome against the opening of a refugee camp, an apocalypse of zombies breaks out."
Santa Jaws,2018,86,3.8,"Trying to survive the family Christmas, Cody makes a wish to be alone, which ends up backfiring when a shark manifests and kills his entire family."
Sultan: The Saviour,2018,163,5.4,A man decides to save his sister from the clutches of a deadly Mafia Don.
Brokedown,2018,77,6.4,A group of hillbillies terrorize a couple after their car breaks down.
Aanakkallan,2018,155,5.1,A Police Officer seeks a conman's help to solve a murder conspiracy.
Kafir: Bersekutu dengan Setan,2018,97,7.0,A family is being haunted by some strange happenings after the death of the father.
Kuntilanak,2018,105,4.8,Five youngsters discover that an antique mirror found in their orphanage is home to an evil ghost who kidnaps children and imprisons them inside it.
Komola Rocket,2018,95,7.4,"As the lives of rich and poor passengers aboard a steamship unfold, buried secrets, lustful affairs and selfish desires are exposed."
2 in the Bush: A Love Story,2018,97,4.2,"2 in the Bush: A Love Story is an unconventional romantic comedy about dungeons, a fish named Archimedes, and the many forms that love takes."
Ee Nagaraniki Emaindi,2018,122,7.9,"The story is based on four childhood friends who go on a trip to Goa. Each have their own dream careers, and collaborate to make a short film."
Nina errante,2018,82,6.5,A girl meets her three older stepsisters for the first time following the death of their father and embarks on a life-changing road trip.
Sid & Aya: Not a Love Story,2018,94,6.9,It follows Sid who suffers from insomnia and meets Aya who he hires to accompany him in his sleepless nights.
Gojira: hoshi wo ku mono,2018,91,5.0,"Humanity, their alien allies, and Godzilla all enter their endgame as the powerful destructive entity known as Ghidorah arrives on Earth."
Ma reum,2018,85,4.8,A mother takes revenge on her son's three bullies.
Kishore Kumar Junior,2018,145,6.0,"When a famous Kisorekonthi was to attend some small Indo-Pak border musical, he, his wife and his team is kidnapped by a mysterious group of people."
Sheherazade,2018,109,7.1,"Zachary, 17 years old, gets out of jail. Rejected by his mother, he hangs out in the mean streets of Marseille. This is where he meets Sheherazade."
Kanaa,2018,145,7.8,A woman who hails from a middle-class family background aims to excel in the competitive world of cricket with the help of her supportive father.
La disparition des lucioles,2018,96,6.9,A frustrated teenager frees herself from her mother's influence and her narrow life in a small industrial town to find out who she really is.
Dear Ex,2018,100,7.3,A teenage boy and his mother are further driven apart when they find out that his father's life insurance policy is to be received by his lover.
Jan Palach,2018,124,6.6,"The last six months of the life of Jan Palach, who self-immolated to protest against the invasion of Czechoslovakia to crush of Prague Spring."
Lust Stories,2018,120,6.5,"Four short films by four of India's biggest directors exploring love, sex and relationships in modern India."
As Zvaigzde,2018,91,3.2,A most successful Lithuanian artist duo of Monika and Mantas unexpectedly breaks up as Mantas decides of switching and becoming a rapper.
Chaem-pieon,2018,108,6.1,"A Korean American arm wrestler goes to South Korea for a competition, and finds a sister that he didn't know about."
Miss Granny,2018,120,8.0,Fely is an elderly woman who finds second chance at youth after a visit to a mysterious photo studio.
Mazhayathu,2018,123,7.1,A bizarre incident shakes the family of 3 and the father finds himself becomes the victim of people's anger.
Aatagallu,2018,141,5.3,"Although all evidence points to the contrary, a public defender becomes convinced that his client is not guilty of murder."
Rainbow Jelly,2018,120,7.0,"Mistreated by his cruel uncle, an imaginative orphan with autism sees hope when a fairy vows to change his life with a week of enchanted recipes."
Cam,2018,94,5.9,"Alice, an ambitious camgirl, wakes up one day to discover she's been replaced on her show with an exact replica of herself."
Comment tuer sa mere,2018,90,3.6,Three siblings have had enough and hatch a plan to kill their tyrannical mother.
Running Out Of Time,2018,87,4.2,Newly widowed Brenda Harper and her family are taken hostage over something from her late husband's past.
Abrakadabra,2018,69,5.6,In the tradition of giallos of the early 70s a magician finds himself the target of a sadistic serial killer.
The Wind,2018,86,5.5,A plains-woman faces the harshness and isolation of the untamed land in the Western frontier of the late 1800s.
Jalebi,2018,112,6.1,A woman boards an overnight train and gets placed in a compartment with her former lover and his wife.
Drama,2018,146,4.4,"Set in UK, Drama follows the hilarious yet enthralling journey of a funeral director, who sets out to fulfill the final wish of one of his clients."
Single e disponibile,2018,104,6.2,"A heartbroken ad copywriter living in Lima, Peru, is inspired to write a blog about life as a single woman and is surprised by her website's success."
Goal,2018,99,6.8,Goal is the story of bunch of ordinary village children who challenge the impossible with the help of a teacher who refuses to see them fail.
Lilli,2018,91,5.8,"Abducted and confined in a room by a gang of sadistic men, a pregnant woman tries to escape, against insurmountable odds."
Flight 666,2018,89,4.3,Passengers and crew on a flight are attacked by unseen forces that threaten all aboard.
Cafarnao - Caos e miracoli,2018,126,8.4,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
Tutto quello che non so di lui,2018,85,5.1,"After believing she has found the guy of her dreams, home renovator Melissa Davis soon learns that her dream man has a dark secret."
Veera Bhoga Vasantha Rayalu,2018,132,6.7,"A cop is pursuing a dangerous man who is behind the disappearance of a flight with innocent passengers, and orphan girls. Will he be nabbed?"
1st Summoning,2018,97,3.3,"Student filmmakers uncover occult rituals tied to an abandoned warehouse, then gradually realize the horror is closer than they think."
Nela Ticket,2018,120,4.5,A carefree young man is forced to grow up fast after he incurs the wrath of a corrupt politician.
Linhas de Sangue,2018,132,3.3,"Threatened by a fascist plot, the Portuguese government recruits several ""special people"" to stop the coup."
The Guard of Auschwitz,2018,102,4.6,Follows the events of the Holocaust through the eyes of an SS Soldier.
Amsusarin,2018,110,6.6,A criminal thriller about the fierce psychological confrontation between a detective and a killer who confessed to multiple murders.
Sin-gwa ham-kke: In-gwa yeon,2018,142,7.1,"In the afterlife, one guardian helps a man through his trials, while his two colleagues help a former guardian on earth."
The Weekend,2018,87,5.4,A comedian goes away for the weekend with an ex-boyfriend and his new girlfriend.
Balam balam balam,2018,100,6.3,A philandering cab driver makes a profound impression on his brother-in-law.
Andhadhun,2018,139,8.3,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
Nota,2018,145,6.4,A bachelor who is unaware of the political world is appointed a Chief Minister when his corrupt father retires.
Gunshot,2018,97,6.9,Follows a mysterious murder that connects the destinies of the protagonists and changes their beliefs about the concept of truth.
Larguees,2018,95,5.8,Two hard heads sisters bring their mother on vacation to help her recover from being dumped.
Nativity Rocks!,2018,100,4.4,The staff and students from St Bernadette's Primary School in Coventry audition for a place in a rock musical competition.
Reva,2018,159,8.4,"A 25-year-old Indian man who is brought up in the U.S. visits an ashram near the Narmada River in Gujarat, India to take his will."
Asuravadham,2018,122,6.3,"A stranger keeps threatening a man, promising him that he will kill him after a week. Who is the stranger and what is he after?"
L'uomo fedele,2018,75,6.2,"A couple's relationship becomes complicated when she leaves him for his best friend, and returns after he dies."
Un affare di famiglia,2018,121,8.0,A family of small-time crooks take in a child they find outside in the cold.
The Row,2018,85,3.3,A college freshman discovers a dark secret about the sorority house she's pledging for after a series of murders terrorize the campus.
Hello Guru Prema Kosame,2018,140,7.1,"After a rocky start, a friendship develops between a happy-go-lucky youth and a girl from the city."
Bob & Marys - Criminali a domicilio,2018,98,5.7,A married couple must get their hands dirty when a bunch of mobsters start using their new home as a deposit for illegal material.
Vengo anch'io,2018,87,6.0,A guy with Asperger's syndrome and a woman just out of jail face a road trip with a man who wants to commit suicide.
Srinivasa Kalyanam,2018,140,6.1,"""Srinivasa Kalyanam"" illustrates the sacred bond with another human through nuptial rituals and the sanctity of the institution of marriage."
Kulari ke Pantai,2018,112,7.8,Two girls in their early teens embark on a road trip with one of the girl's mother.
DRISHTIKONE,2018,139,6.6,It is about a lawyer who loses his eyesight and what he leads.
My Daughter Vanished,2018,85,4.6,"When a woman's daughter goes missing under suspicious circumstances, she will do anything it takes to find her."
Bee Nest,2018,89,4.6,It is the story of two petty thieves who when receive a box are entering into a big adventure and many troubles.
Que Leon,2018,93,6.2,A love story between a couple with the same last name but very different social statuses.
1991,2018,141,7.1,"Ricardo recounts the adventures of his 21 year old self, when he went to Italy following love."
Surviving Christmas with the Relatives,2018,101,5.0,"Two sisters and their families spend--or rather, endure--Christmas at their late parents' dilapidated country house."
Snezhnaya koroleva. Zazerkale,2018,84,5.4,"After a powerful king traps all the world's magicians in the Mirrorlands, Gerda battles to keep magic alive through kindness and friendship."
Girl,2018,105,7.1,A promising teenage dancer enrolls at a prestigious ballet school while grappling with her gender dysphoria.
Rosie,2018,86,7.0,The story of a mother trying to protect her family after their landlord sells their rented home and they become homeless.
Altered Skin,2018,80,3.0,"While caring for his ailing wife, an American engineer in Pakistan stumbles upon a deadly pharmaceutical conspiracy."
Echoes of Fear,2018,90,5.2,"After inheriting her grandfather's house, a young woman must confront the mystery of his sudden death and the evil that hides inside."
Livescream,2018,70,5.9,"When a popular video game streamer plays a haunted game, he faces deadly consequences for himself and his fans."
Papi Chulo,2018,98,6.4,A lonely TV weatherman strikes up an unusual friendship with a middle-aged Latino migrant worker.
Modest Heroes,2018,53,6.6,An anthology of three original shorts written and directed by
Notti magiche,2018,125,6.1,The corpse of a famous film producer is found in the Tiber. The investigations focus on three peculiar young scriptwriters.
karantina XII,2018,88,5.1,It is a scary movie about four college students who go to camp for taking pictures to help their lessons. One of them gets lost and the story begins.
Hector el Father: Conoceras la Verdad,2018,90,5.5,"The rise of Puerto Rican Reggaeton star Hector ""El Father"", his fall into depression and his conversion to Christianity."
Roulez jeunesse,2018,81,5.9,"After a failed one-night stand, a mechanic ends up taking care of three children."
Carry On Jatta 2,2018,149,6.9,It revolves around the confusing and comic events that arise after Jass lies to Mahie about his family in order to marry her.
Satyameva Jayate,2018,140,5.7,An honest cop attempts to hunt down a vigilante who kills corrupt cops by setting them on fire.
Twisted Pair,2018,89,5.9,"Identical twin brothers become hybrid A.I (artificial intelligence) entities, yet torn in different directions to achieve justice for humanity."
Slony mogut igrat v futbol,2018,106,6.5,"Dmitry is a strong willed, solid guy. He could easily quit the game, if only he knew he was playing."
W/O Ram,2018,122,6.0,"Deeksha, wife of Ram takes it in her own hands to find her husband's murderer when police refused to help her."
Devil's Path,2018,87,4.8,"Two men encounter each other on a dangerous gay cruising park trail, and quickly find themselves caught up in a deadly game of cat and mouse."
Aami Ashbo Phirey,2018,120,6.9,"The theme of the movie is about four different family bondings and the entry of an unheard,young,unknown singer through virtual media."
Un lungo viaggio nella notte,2018,138,7.2,"A man went back to Guizhou, found the tracks of a mysterious woman. He recalls the summer he spent with her twenty years ago."
Alex & Me,2018,76,5.4,Alex and Me is an uplifting story of the passion and drive it takes to succeed and the power of family to help realize your dreams.
Si shi qing chun,2018,74,6.6,Three different stories of youth set in different cities of China.
La Casa Lobo,2018,75,7.5,"Tells the story of Maria, a young woman who takes refuge in a house in southern Chile after escaping from a German colony."
Casi 40,2018,83,5.4,Two old friends. An ex couple. A music tour. Two lives to meet again.
Pyaar Prema Kaadhal,2018,145,6.6,A man is conflicted when he falls for a free-spirited woman that he knows that his mother will not like.
Aatagadharaa Siva,2018,111,7.3,"Revolving around the idea of ""life is a game"", the suspense comedy-drama features Hyper Aadi, Chammak Chandra and Chalaki Chanti in pivotal roles."
Pulang,2018,120,6.7,PULANG is about a man from a village who sails around the world hoping for riches as his wife waits for his promised return for - 61 years.
Tyhjio,2018,97,7.2,The story of the tumultuous relationship between a successful actress and a struggling writer.
Paskal: The Movie,2018,115,6.8,A story of true piracy based on an elite unit of the Royal Malaysian Navy's mission.
Jingle Belle,2018,86,6.1,A successful jingle writer is cajoled into returning to her hometown to write a song for the 50th anniversary of the annual Christmas Eve concert.
H0us3,2018,105,5.6,"A group of friends for meeting, a secret for disclosing, a nightmare for starting."
Ku zak,2018,86,4.6,A mother and her son are disturbed by a the presence of a stranger as they await for the return of the father from work.
Sparta,2018,53,6.3,Without the right to make a mistake. Without the right to rematch
Battle Bots,2018,67,1.9,"After nuclear warfare has decimated Earth, tyrants using service robots to enslave the population are met with a rebellion."
Bei shang ni liu cheng he,2018,104,5.7,"Childhood friends Qi Ming and Yi Yao realize their feelings for each other and, over the course of a decade, explore growth and separation."
Zhao dao ni,2018,102,6.6,Every day the people who come in to Dan's small lost and found office have fascinating and hilarious stories to tell.
L'uomo che compro la luna,2018,105,6.5,A Sardinian fisherman has promised the moon to the woman he loves. And Sardinian men always keep their promises.
Bocadillo,2018,75,1.3,"Ismael is a vegetarian who goes into a bar looking for a vegetarian sandwich. But, the waiter misunderstands him wich leads into an endless cycle."
Homestay,2018,132,7.4,"When ""Temporary Body"" is a wonderful award from heaven. Min has 100 days to change his life."
The Dark Side of Life: Mumbai City,2018,125,6.1,"Struggling with Mumbai's pressures and private battles with depression, six lives intersect just as they reach a breaking point."
Tutte le mie notti,2018,81,5.3,"A psychological thriller that revolves around secrets, lies, fears and that will lead us to know the most hidden truths of the two women."
Dachra,2018,113,6.9,An investigation into witchcraft leads a trio of journalism students to a mysterious town marked by sinister rituals. Inspired by true events.
Wanbyeokhan tain,2018,115,6.7,Four friends meet for the first time in a long time play a game that reveals each other's secrets.
Rootwood,2018,83,3.2,Two students are hired by a Hollywood film producer to shoot a horror documentary about the curse of The Wooden Devil.
O Paciente: O Caso Tancredo Neves,2018,100,6.6,Revisits the final moments before the mysterious death of 1985 Brazilian president-to-be Tancredo Neves.
60 Vayadu Maaniram,2018,136,6.6,"An ambitious son sets out to find his missing father, who suffers from memory loss, with the help of two people."
Asih,2018,77,5.3,"The origins of a Kuntilanak named ""Asih"", one of the ghosts from Danur movie."
Rojo,2018,109,6.4,"In Argentina pre-coup d'etat, a successful lawyer starts to feel against the ropes when a secret of the past threatens his present."
Beol-sae,2018,138,7.4,"Seoul 1994, in the year the Seongsu Bridge collapsed, 14-year-old Eunhee wanders the city searching for love."
SGaawaay K'uuna,2018,101,6.2,"When a man accidentally causes the death of the son of his best friend, the man is wracked by grief and runs off into the woods."
Bi bei shang geng bei shang de gu shi,2018,105,6.1,"A terminally ill man sets up his best friend, whom he has loved since high school, so that she will not be lonely after he passes away."
Womit haben wir das verdient?,2018,91,5.4,Wanda's world has been turned upside down when her teenage daughter Nina suddenly turns up in a hijab. Nina has secretly converted to Islam.
The Seven Deadly Sins: Prisoners of the Sky,2018,99,7.1,The Seven Deadly Sins travel to the Sky Temple in search of an elusive ingredient.
Wild and Free,2018,105,6.8,Ellie and Jake are in a passionate relationship but things might turn for the worse when Jake discovers Ellie's secret.
Paranormal Investigation,2018,92,3.7,"When a young man becomes possessed after playing a Ouija game,a ghost hunter investigates the evil spirit dwelling within him."
Code Geass: Lelouch of the Rebellion Episode III,2018,120,7.7,"A remake of the last 9 episodes in Code Geass R2, which is a prequel to Lelouch of the Resurrection."
Quezon's Game,2018,127,7.5,"In 1938, Philippine President Manuel L. Quezon agrees to welcome Jewish refugees from Germany in the Philippines."
Code Geass: Lelouch of the Rebellion Episode II,2018,132,7.1,A remake of the last 8 episodes of Code Geass R1 and the first 16 episodes of Code Geass R2.
American Kamasutra,2018,88,2.9,A young woman finds herself involved in a dangerous love triangle when she gets involved with the writer of a popular steamy novel.
Revenger,2018,101,5.7,A former police investigator decides to go to a prison island to revenge the brutal killings of his family.
Doeorak,2018,102,6.3,A thriller that begins with a murder incident with a trace of a stranger entering the house of Kyung Min who lives alone in the one room.
Hushaaru,2018,140,6.9,Four friends from middle-class families believe in carving a niche for themselves by not following a trodden path set by others.
The Guest,2018,99,6.6,"The Guest tells the story of a young man who visits a family during dinner, and then the events develop in a direction that no one expects."
Joe Lycett: I'm About to Lose Control And I Think Joe Lycett Live,2018,74,7.7,Joe Lycett's brand new stand up show is ready for you to stream and/or download. You will totally love it Babe!
Shrek Retold,2018,90,7.5,"After his swamp is filled with magical creatures, Shrek agrees to rescue Princess Fiona for a villainous lord in order to get his land back."
Ave Maryam,2018,85,7.4,Maryam a catholic nun who falls in love with a pastor.
Son of Manjeet Singh,2018,139,7.8,An undefined relationship between father and son of love and dreams that goes beyond all boundaries of struggles to meet the demand of generation gap.
Wu ming zhi bei,2018,109,7.0,"While two criminals hide out at a woman's apartment after a botched robbery, an ex-cop tries to find a missing gun."
Fantastica,2018,115,4.2,The proprietor of a struggling carnival must help a prince from another land find three lost princesses.
Kavacham,2018,141,5.6,A police officer from Vizag finds himself in a rut when false allegations are levied against him. He has 24 hours now to prove his innocence.
Casa Shakespeare,2018,101,6.2,A look at the final days in the life of renowned playwright
Zong xie,2018,106,5.3,"Hoping to make a viral video by streaming a mysterious rope ritual, a couple falls into a deadly curse instead that turns their lives upside down."
Hanum & Rangga: Faith & The City,2018,90,1.2,A love story about a dentist's struggle with her husband.
Khabsa - What Did I Mess,2018,100,6.9,"The romp revolves around a dinner party hosted by the young and vicacious Nayla to introduce Fares, the love of her life, to Silvio, her new fiance."
Blood Falls,2018,99,3.3,"A striking young woman agrees to a housesitting job, inadvertently reads a spell, and soon cannot tell whether she is dreaming or awake."
The Donkey King,2018,85,6.5,A lion decides that a new king shall take on the reins of Azad Nagar when he retires. When he retires a donkey is chosen as the king of Azad Nagar.
The Red Phallus,2018,85,6.5,"We all live in one story but different realities. Or perhaps, we all live in one reality but different stories. And in between, there is just a mask."
The Pool,2018,91,5.5,"In an abandoned 6-meter deep pool, a couple is stranded there with a deadly predator."
Dear Nathan Hello Salma,2018,101,8.0,"Sequel to the 2017 movie ""Dear Nathan"" follows the continued relationship between two young people in love."
Ente Ummante Peru,2018,131,6.7,The life and journey of Hameed to find his biological mother and how his life changes when Aisha comes into his life.
Through Night and Day,2018,100,7.3,Ben and Jen's relationship is put to test as they embark on a trip of a lifetime to Jen's lifelong dream destination - Iceland.
Naduve Antaravirali,2018,108,7.9,A love story centering on two college students who find themselves overcome by their emotions.
Aruna & Lidahnya,2018,106,7.3,An epidemiologist tried to satisfy her obsession with food when she was assigned to investigate a bird flu case.
Live,2018,90,3.8,Linda Johnson's life is unraveling on Facebook LIVE. The wrong person takes notice.
Lupt,2018,110,6.8,"Haunted by disturbing visions, a workaholic takes a vacation with his family, but a detour leads them to an unsettling stranger and chilling events."
Grandmother's Gold,2018,80,7.1,A brother and sister embark on a journey to retrieve an inheritance from their grandmother in the wake of economic collapse and impending apocalypse
The Fear Footage,2018,71,4.6,"On April 19th, 2016, Deputy Leo Cole vanished. The next morning, his body camera was found."
Si Doel the Movie,2018,85,7.1,Doel travels to the Netherlands to reunite with a woman who left him 14 years ago. Doel's new journey is started again.
Qalb Ummuh,2018,102,5.9,A mobster has a heart transplant from a young man's mother .
Byomkesh Gotro,2018,136,6.3,A lustful spoilt brat gives Byomkesh a task ............ to investigate his inevitable death.
Rx 100,2018,153,6.9,"Believing his girlfriend loves him even after being married, a man waits for her return and in the process ignites violence."
Qismat,2018,137,8.4,"The film follows a man who falls in love whilst studying in Chandigarh, despite his marriage being arranged to another woman."
Devadas,2018,159,6.7,A staid doctor's monotonous routine is shaken up when a gangster who is on the run decides to hide from the police in his clinic.
Lo specchio della vendetta,2018,86,4.3,A happy family returns from a vacation to find their home invaded by a criminal family and must fight for survival.
Nguoi Bat Tu,2018,132,6.7,"A man makes a decision that alters generations, and must suffer great consequences that reach beyond this lifetime."
Idam Jagath,2018,126,5.5,"Nishith, who suffers from a sleeping disorder, and desperate for work, becomes a crime reporter at night."
El bosque negro,2018,98,5.7,"In this mystical horror tale, a young woman uncovers the Lost Book of Cipriano, an ancient tome with power for both wealth... and pure evil."
Subrahmanyapuram,2018,133,5.6,"Karthik, an atheist, investigates a series of suicides, which are believed to be an act of God by the people of Subrahmanyapuram"
Bonhomme,2018,103,6.1,"After a brutal car accident, Marilyn must take care of her man suffering a serious head trauma."
Minha Vida em Marte,2018,110,6.4,"With the help of her best friend, Fernanda now has to deal with the perks of being married, or perhaps unmarried."
Santet,2018,85,3.8,A man and his family return home to see his ailing mother only to find out that she has been overcome by black magic.
Officer,2018,122,3.4,"An honest officer fights to bring down a corrupt and dangerous cop, and attempts to bring down the entire Mumbai mafia with him."
Elves,2018,80,1.9,"When a group of friends discover ancient elves locked in a cursed chest, they unknowingly unleash their wrath on the world."
Paper Boy,2018,125,6.5,The film is a rom-com which explores the life of a young paperboy.
Ana e Vitoria,2018,115,6.6,"Two girls have a chance encounter and instantly befriend. While trying to find themselves, they decide to pursue music together."
Load Wedding,2018,135,7.4,"A young man gets married before his older sister leaving her bitter, jealous, and without a proper dowry."
Jane and Emma,2018,90,6.2,"In 1844, after travelling hundreds of miles on foot, a black woman finds friendship with the wife of the founder of the Mormon Church."
Cronofobia,2018,93,6.7,"A mysterious lonely man and a young rebel woman, confront each other in a psychological drama about suspended identity."
22 Menit,2018,71,6.2,"22 minutes before, during and after the explosion of Thamrin's bomb."
Alien Predator,2018,87,1.7,"When a black ops team is sent to investigate the crash of an unidentified aircraft, they soon find themselves being hunted by the former occupants."
Deadsight,2018,89,4.1,A man with partial blindness and a young pregnant police officer must work together to escape from a deadly virus that has spread across Grey County.
The Wrong Todd,2018,90,4.9,Everything changes for Todd when his evil twin from a parallel universe arrives to steal his girlfriend.
The Day After Valentine's,2018,115,6.4,A woman should take the responsibility of helping a brokenhearted and self-destructive man to fix his problems.
Sons Of Adam,2018,114,5.5,A family and business man (Adam) is accused of running a criminal empire while he deny the accusation by being the one who take criminals down.
Mok-gyeok-ja,2018,111,6.4,An ordinary man witnesses a cruel murder and becomes entangled in circumstances out of his control.
Mitron,2018,119,6.9,"In order to bring stability in Jai's life, his father decides to get him married. However, fate has other plans."
Belmonte,2018,74,6.2,"A portrait of fatherhood in crisis, and the strength of a child."
Song Lang,2018,90,7.8,"An unlikely bond forms between an underground debt collector and a cai luong ""Vietnamese opera"" performer against the backdrop of Saigon in the 90s."
Exes Baggage,2018,104,6.8,"Nix, a guy who prefers to be alone with his music falls for Pia, a rebel who fights for what she believes in."
Dahan,2018,128,7.6,"The story is about the negetive side of 'Hortal', 'Political Movement' etc which affects common people badly."
Souq elgomaa,2018,100,5.5,The movie enters the world of Friday market -that is frequented by the poor each week- with its merchants and how they deal with customers.
Mauli,2018,134,6.0,An unconventional cop with a devil-may-care attitude sets out to end a ruthless criminal's reign of terror over a village.
Las hijas del fuego,2018,115,5.2,"A group of women go on a erotic, polyamorous, trip to free themselves from the mindset of patriarchy, while one of them plans to make a porn movie."
L'ospite,2018,94,6.2,A bitter-sweet late coming of age about the problems of modern-day love.
Un principe per Natale - Matrimonio reale,2018,92,5.3,"A year after helping Richard get to the throne, Amber is about to become his wife. But is she really made to be queen?"
Wach,2018,75,6.4,"In order to escape their world-weariness, two teenage girls decide to stay awake until they reach an intoxicating state."
The Perfect One,2018,87,5.7,A new mother dealing with postpartum depression befriends an alluring woman with a mysterious past.
The Hows of Us,2018,117,7.3,A young couple dream of growing old together as they as they deal with the struggles of being in a long-term relationship.
Afsar,2018,127,4.4,A mid-level civil servant wishing to marry a young woman poses as a lower ranked civil servant to impress her father.
Nazi Overlord,2018,91,2.1,A D-Day rescue mission turns ugly when a band of Allied soldiers battle with horrific experiments created by the Nazis.
Yi chu hao xi,2018,134,6.2,"A cataclysmic event causes a man, who dreams of winning the lottery, to become stranded on an island with his co-workers."
Ashke,2018,122,6.9,"Ashke is a film about the cultural dance ""Bhangra,"" and also revolves around families, relationships and fun-loving comedy."
Deliler,2018,121,5.4,The true story of 7 oddly dressed fearless men of ottoman army fight against cruel Vlad.
